id,comment
@NadanMusic,"★추천 재생목록 (Play List)★기분 좋아지는 밝은 음악 모음  경쾌한 감성 피아노곡, 산뜻한 피아노 연주곡 : https://youtube.com/playlist?list=PLvpsc59jO7tgdNn8pBQA36QtGLgpq7dcH 공부할때 듣기좋은 피아노 연주곡 (Piano Music for Studying) : https://www.youtube.com/playlist?list=PLvpsc59jO7tj1OZ_UEJf9ARw9nfLK17Ni 편안한 수면음악 연속듣기 (Calming Sleep Music Best) : https://www.youtube.com/playlist?list=PLh7AHc75KkfB_QIVtujMYOEzzEtI3SjiJ"
@BGMRelaxingJazz,Love this to fall asleep to its so relaxing 
@Music-peaceful,Wow! This makes me feel like flowing through the streams touching the wind with sense of falling into natures slumber. And the piano music is soo calm and relaxing. Thank you so much!
@marinaymwang,Thank you for your beautiful music! It makes me relax and have a wonderful day. I appreciate your work.
@Jojo1992xxx,"To anybody reading this, I pray that whatever is hurting you or whatever you are constantly stressing about gets better. May the dark thoughts, the overthinking, and the doubt exit your mind may clarity replace confusion. may peace and calmness fill your life."
@crepewoman,이 음악 들으시는분들 모두 마음 편안해지시길 바라며 이 글 보는 모든분들 행복하세요
@musicamedieval516,I work as a NICU nurse and used this sound yesterday for a baby in pain to fall asleep. Thank you!
@user-cy1uj3in6j,Beautiful piano music! 
@healingtreemusic8864,"제 생일이라고 몇번이나 말했는데 문자와전화한통 없던날 화장실에서 펑펑울고 자려는데 잠이 오지않아서 잔잔한 노래를찾고 있었는데 이 노래를 발견하고 편하게 잠에 들 수 있었어요,감사합니다 (다들 감사합니다! 댓글읽고 감동받았어요ㅠㅠ)"
@user-wp9ly3ph7z,엄마가 아푸셔서 최근 몇달 동안 기분이 계속 다운됐었는데 이 음악 너무 좋네요. 피아노 소리가 다운된 기분을 흥겹게 만들어 줍니다. 너무좋아요. 고맙습니다.
@relaxing-healingtreemusic1468,"thank you for this, good night everyone. sleep well:)"
@shin-ryu9884,쾌청한 날씨와 너무 잘 어울리는 음악들이예요~ 혹시 곡 리스트 제목들을 알 수 있을까요? 악보도 찾아보고 몇 곡은 연습도 해보고 싶어서요~
@jhpark1400,Morning Music으로 아침을 맞이합니다. 건강한 하루가 될것 같네요. .Have a good day ^^*
@-relaxyoursoul5551,음악이 정말 좋아서 누워서 들으니좋군요. 편안함으로 잘 들어요.감사합니다.^♡^ 
@user-vy6zg3vx7e,음악이 몸과 마음을 마술처럼 평온하게 해 주네요~  자주 듣고 있어요~  몸에서 힘을 빼고 듣고 있으면 음악매트에 타고 여행가는 기분이네요    감사합니다~
@crepewoman,[명상음악] 치유 명상음악 연속듣기 | 힐링음악│불면증치료 | 마음이 편안해지는 음악 | 스트레스 해소 음악 | 이완 효과가 있는 음악 |편안한 음악
@relaxingnaturemusic-relaxa7553,"we may all speak different languages, but music is the language that we can all understand."
@user-vi9ik8dv2f,마음이 편안해져요^^
@dicasdenegociosonline7497,"A paz ,que o Senhor Deus abençoe a todos hoje, amanhã e sempre em nome de Jesus."
@user-yk1yg9vh2s,와 진짜  좋네요
@crepewoman,Bộ sưu tập âm nhạc giảm căng thẳng trong 10 giờ Piano Piano tươi sáng cho tâm trí sảng khoái
@relaxing-mp8701,"To the person who reads this, we don't know each other and probably never will but I wish you all the best in life and all the luck in the world. Keep up the great work...you are a true comfort to the people that surrounds you, and to me knowing that you're living your life to the fullest, Much Love! "
@htbeautifulpianorelaxing7750,"“We may speak different languages, but music is a language we all understand.”"
@crepewoman,"명상음악 우와 진짜 놀랍다 하루10분 만병을 치료 해주는 힐링 명상 기치료 음악 및 영상, 스트레스 해소 음악, 긴장이완음악, 편안한 음악 치유음악"
@user-zw1un8hn5q,맘 편한 곡 감사 드립니다~~~ ^^
@HealingNadanMusic,Have a nice day. :)
@user-sm8qh6ck1g,출근길에듣기좋아요^^오늘도 멎진하루를 위해힘차게 발걸음합니다
@relaxeveryday_no1,좋은음악 감사합니다
@user-pr3of4iy4u,"당신의 음악은 아주 제발요, 정말 좋아해요"
@user-ep1zj4nf7s,음악이 다 좋네요밤에 산책하고 다리가 아파서 벤취에 앉아서 편한 노래를 듣고 싶어서 여러곳을 들어가보던중에제가 원하는 곡을 만났네요~영광입니다~
@CRYSTAL24ful,"Recien estaba terminando de ver el mismo video gracias ,lo vere denuevo,pero mas ratito muchas gracias  ha sido de gran ayuda para mi"
@damien62630,오늘 오후 날씨랑 잘 어울려요. 영상도 노래랑 잘 어울리네요!! 좋은 노래 감사합니다~
@eulsuyoo5089,It's a good day. We're enjoying it.
@mindpiano3954,"If you are reading this, I hope you are well, safe and protected from Covid 19, remember that we are all in this together ️"
@naturerelaxingmusic5674,"Beautiful muzic , beautiful place, what A beautiful morning !  wish everybody well from the bottom of my heart ! Bless the LORD !  Thank you for giving such woderful  n peaceful muzic for us !  love ,"
@relaxing-7427,Nice....this is something I could meditate to.
@yagho0yagho,나쁜 삶이 아니라 단지 나쁜 날이라는 것을 기억하십시오. 계속 웃어주세요 :):):)
@chuyenchimcanh,Friends... Falling asleep with relaxing music... Tomorrow will be a great day Love you all
@relaxingguitarmusic4735,"Don't know if someone is reading this, but if you are: it doesn't matter where you are right now on this planet, I wish you a wonderful day and a happy, peaceful life where all your dreams come true. You are amazing and beautiful! I believe in you! "
@dayeolmung,좋아요~~
@rainsounds4129,"For someone that needs to hear this right now, I love you. You are appreciated. Your life means a lot to more people than you know. You are important. You are special. You are beautiful, and if no one else has said it to you recently..."
@user-yo3ku8qr2x,바쁘게   보내온   나에게   웃음을  주게하는  음악입니다.  우연히  듣게된  음악      너무  좋아요.........   ㅎㅎㅎㅎㅎㅎ
@user-hf8wz6gx7g,
@dalcomi8289,"모두들 힘드시죠? 괜찮아요, 당신은 지금도 충분히 반짝이는 사람이예요. 당신의 내일을 응원합니다!! "
@twinslove612,감사해요
@beautifulpianobgm7939,매우 편안하고 멋진 동영상
@__-hb1ry,기분 좋게 듣고 갑니다 ^^
@user-fe6pd2ob2g,엄마도 이노래를 좋아해요!
@user-mw5ep1iz3v,잘 듣고 있어요~^^
@HWang0203,항상 잘듣고 있습니다.ㅎㅎ
@user-zv5hl4uf5b,해바라기꽃들이 아침부터 기분이좋인지게만드네요  음악도좋고  좋은하루가시작될거같아요
@user-ps3yb9eq5h,음악이 좋네요
@thewizardofink,"beautiful piano music for lover, best wish for you"
@lina_log,잘 듣고 갑니다
@leoleolee1010,최근에 학교에서 학폭 비슷한 따돌림을 당했는데 이 노래들로 마음이 치유됬습니다 감사합니다
@2328lucy,"Dear everyone who reads this, we don't know each other but I wish you all the best in life and happiness️"
@user-ur2rl8lm5s,부처님 고맙슴니다
@user-hf8wz6gx7g,감사 합니다^^
@2328lucy,"a wise tortoise  once said, yesterday is history, tomorrow is a mystery, today is a gift. that's why it's called present️"
@Relaxingrainsounds94,"나는이 영화의 모든 노래를 너무 좋아한다, 당신이 아주 큰 소리로 그것을 떨어 뜨리면 "
@user-tp1lb2bt2z,편안하고 행복 합니다
@user-ur2rl8lm5s,부처님 요저 힘나게해주셔요
@user-xx9ms9ye7u,좋은 힐링 감사합니다~ㅋㅋ
@0720912345,10시간 레전드
@soothingrelaxation5955,Very nice. Check out states of being as well. They're in your industry as well. Really enjoyed the video.
@ceciliaatengco4391,This is helping my hard to breathe problem
@user-iy1tk1lv3u,먼저  하늘나라로 간딸생각이  나는  음악  ~
@user-zq7pp8lq1y,
@user-df3ic8iw9h,음악 더올려주세요활동하십쇼!
@chunsangsei8874,   저는 개인적으로 해바라기꽃을너무 좋아  합니다왜야구요  ㅎ 꿈속에서해바라기   꽃밭을보아는데다음날   저희아들   대학입학금을납부  했는데  수석으로합격했다고  통보왔는데납부했던   입학금이 다시되돌려받아답니다여려분들도   해바라기  꽃하고친해보세요좋은일   있을거예요영상  감사합니다    
@user-wk8ko9wv7u,good!
@joshuaromero6984,"The violent otter scilly steer because health connolly decorate despite a null mosquito. nostalgic, noiseless beam"
@user-dn8ed6vs1k,
@ljk23727,감사합니다
@user-op1fh5js5l,잘 봅니다~
@user-ur2rl8lm5s,감사합니다부처님
@user-nu7du9bp8t,출처를 남기고 사용해도 되나요...!?
@relaxingmusicinkorea8562,"다음생에는학교폭력을 당하지도과거에 연연해하지도장례식이 익숙해지지도 않는 인생을 살거야살아오느라 고생했어"
@HeavyRainTony222,Hey you. Yes you. Random person that I will never meet. I truly hope you will find happiness on life. Today is going to be a great day!
